Customer ID,Customer Name,City,State/Province,Postal Code,Country/Region,Region
eb-13930,Eric Barreto,Saint Petersburg,Florida,33710,united states,South
cd-12790,Cynthia Delaney,San Diego,California,92037,united states,West
tb-21400,Tom Boeckenhauer,Seattle,Washington,98105,united states,West
mh-17440,Mark Haberlin,Escondido,California,92025,united states,West
db-13270,Deborah Brumfield,San Diego,California,92024,united states,West
dl-13315,Delfina Latchford,Romeoville,Illinois,60441,united states,Central
nd-18460,Neil Ducich,Chesapeake,Virginia,23320,united states,South
cs-12250,Chris Selesnick,New York City,New York,10024,united states,East
ck-12760,Cyma Kinney,Linden,New Jersey,7036,united states,East
nm-18445,Nathan Mautz,North Las Vegas,Nevada,89031,united states,West
ga-14725,Guy Armstrong,Columbia,Missouri,65203,united states,Central
nf-18385,Natalie Fritzler,Chesapeake,Virginia,23320,united states,South
sc-20095,Sanjit Chand,Concord,California,94521,united states,West
ml-17395,Marina Lichtenstein,Seattle,Washington,98103,united states,West
st-20530,Shui Tom,Houston,Texas,77095,united states,Central
bf-11020,Barry Französisch,Seattle,Washington,98105,united states,West
mn-17935,Michael Nguyen,Dallas,Texas,75220,united states,Central
dl-13315,Delfina Latchford,Chicago,Illinois,60653,united states,Central
tb-21595,Troy Blackwell,Lubbock,Texas,79424,united states,Central
ab-10015,Aaron Bergman,Arlington,Texas,76017,united states,Central
lc-16930,Linda Cazamias,Richmond,Indiana,47374,united states,Central
sr-20740,Steven Roelle,Los Angeles,California,90049,united states,West
tm-21010,Tamara Manning,Woodstock,Illinois,60098,united states,Central
sa-20830,Sue Ann Reed,Moreno Valley,California,92553,united states,West
mg-17875,Michael Grace,El Paso,Texas,79907,united states,Central
jh-15430,Jennifer Halladay,Medford,Oregon,97504,united states,West
js-16030,Joy Smith,Columbus,Ohio,43229,united states,East
vf-21715,Vicky Freymann,Elmhurst,Illinois,60126,united states,Central
sc-20380,Shahid Collister,El Paso,Texas,79907,united states,Central
db-13060,Dave Brooks,Seattle,Washington,98115,united states,West
gw-14605,Giulietta Weimer,Houston,Texas,77036,united states,Central
hr-14770,Hallie Redmond,New York City,New York,10035,united states,East
kn-16705,Kristina Nunn,New York City,New York,10009,united states,East
nh-18610,Nicole Hansen,Philadelphia,Pennsylvania,19120,united states,East
js-15595,Jill Stevenson,Columbus,Ohio,43229,united states,East
ej-14155,Eva Jacobs,San Diego,California,92037,united states,West
sc-20020,Sam Craven,Houston,Texas,77095,united states,Central
aj-10945,Ashley Jarboe,Wilmington,North Carolina,28403,united states,South
ap-10720,Anne Pryor,New York City,New York,10035,united states,East
sc-20095,Sanjit Chand,Margate,Florida,33063,united states,South
cl-12565,Clay Ludtke,Columbia,South Carolina,29203,united states,South
ab-10150,Aimee Bixby,Yonkers,New York,10701,united states,East
cm-12715,Craig Molinari,Seattle,Washington,98103,united states,West
ab-10015,Aaron Bergman,Seattle,Washington,98103,united states,West
np-18685,Nora Pelletier,Des Moines,Washington,98198,united states,West
kt-16480,Kean Thornton,Denver,Colorado,80219,united states,West
sw-20275,Scott Williamson,Royal Oak,Michigan,48073,united states,Central
ck-12205,Chloris Kastensmidt,Columbus,Ohio,43229,united states,East
fm-14215,Filia McAdams,Richmond,Kentucky,40475,united states,South
rb-19435,Richard Bierner,Roseville,California,95661,united states,West
ka-16525,Kelly Andreada,New York City,New York,10024,united states,East
nf-18595,Nicole Fjeld,Calgary,Alberta,,canada,West
ck-12325,Christine Kargatis,Chesapeake,Virginia,23320,united states,South
dk-13225,Dean Katz,Huntington Beach,California,92646,united states,West
jf-15295,Jason Fortune-,Logan,Utah,84321,united states,West
nf-18475,Neil Französisch,Jacksonville,Florida,32216,united states,South
rb-19465,Rick Bensley,Chicago,Illinois,60653,united states,Central
as-10240,Alan Shonely,Tampa,Florida,33614,united states,South
kn-16705,Kristina Nunn,Raleigh,North Carolina,27604,united states,South
cp-12340,Christine Phan,New York City,New York,10024,united states,East
bn-11515,Bradley Nguyen,Lakeville,Minnesota,55044,united states,Central
mh-17440,Mark Haberlin,Jackson,Mississippi,39212,united states,South
az-10750,Annie Zypern,Dallas,Texas,75217,united states,Central
qj-19255,Quincy Jones,Philadelphia,Pennsylvania,19134,united states,East
ek-13795,Eileen Kiefer,San Francisco,California,94110,united states,West
sm-20320,Sean Miller,Jacksonville,Florida,32216,united states,South
sc-20050,Sample Company A,Burbank,California,91505,united states,West
mc-17605,Matt Connell,Lakeland,Florida,33801,united states,South
gm-14440,Gary McGarr,Knoxville,Tennessee,37918,united states,South
kh-16690,Kristen Hastings,Springfield,Virginia,22153,united states,South
cb-12025,Cassandra Brandow,Hamilton,Ohio,45011,united states,East
ts-21205,Thomas Seio,Asheville,North Carolina,28806,united states,South
bf-11275,Beth Fritzler,Tucson,Arizona,85705,united states,West
vm-21835,Vivian Mathis,Portage,Indiana,46368,united states,Central
cc-12685,Craig Carroll,Greensboro,North Carolina,27405,united states,South
bg-11740,Bruce Geld,Delray Beach,Florida,33445,united states,South
po-18865,Patrick O'Donnell,Los Angeles,California,90036,united states,West
ms-17710,Maurice Satty,Fresno,California,93727,united states,West
cd-11920,Carlos Daly,New York City,New York,10024,united states,East
az-10750,Annie Zypern,New York City,New York,10009,united states,East
ca-12265,Christina Anderson,San Francisco,California,94110,united states,West
dk-12835,Damala Kotsonis,San Francisco,California,94122,united states,West
cs-12505,Cindy Stewart,Pomona,California,91767,united states,West
jd-15895,Jonathan Doherty,Los Angeles,California,90036,united states,West
mp-18175,Mike Pelletier,Springfield,Ohio,45503,united states,East
cv-12295,Christina VanderZanden,Des Moines,Iowa,50315,united states,Central
dr-12940,Daniel Raglin,Albuquerque,New Mexico,87105,united states,West
mg-18145,Mike Gockenbach,Plano,Texas,75023,united states,Central
ga-14725,Guy Armstrong,San Francisco,California,94110,united states,West
mp-17470,Mark Packer,Brownsville,Texas,78521,united states,Central
sg-20890,Susan Gilcrest,New York City,New York,10009,united states,East
km-16720,Kunst Miller,Long Beach,New York,11561,united states,East
dl-13600,Dorris liebe,Seattle,Washington,98105,united states,West
nc-18340,Nat Carroll,Apple Valley,Minnesota,55124,united states,Central
tg-21640,Trudy Glocke,Tampa,Florida,33614,united states,South
aa-10315,Alex Avila,San Francisco,California,94122,united states,West
kb-16240,Karen Bern,Miami,Florida,33180,united states,South
dd-13570,Dorothy Dickinson,Chicago,Illinois,60610,united states,Central
jo-15280,Jas O'Carroll,Philadelphia,Pennsylvania,19120,united states,East
km-16720,Kunst Miller,Vallejo,California,94591,united states,West
kh-16330,Katharine Harms,Revere,Massachusetts,2151,united states,East
ah-10690,Anna Häberlin,Virginia Beach,Virginia,23464,united states,South
rd-19585,Rob Dowd,Athens,Georgia,30605,united states,South
ke-16420,Katrina Edelman,Los Angeles,California,90008,united states,West
ms-17710,Maurice Satty,Detroit,Michigan,48205,united states,Central
mz-17515,Mary Zewe,Los Angeles,California,90008,united states,West
pk-18910,Paul Knutson,San Francisco,California,94109,united states,West
kb-16585,Ken Black,Lafayette,Louisiana,70506,united states,South
gm-14695,Greg Maxwell,Alexandria,Virginia,22304,united states,South
rd-19900,Ruben Dartt,Dearborn Heights,Michigan,48127,united states,Central
rp-19855,Roy Phan,Richmond,Kentucky,40475,united states,South
th-21550,Tracy Hopkins,New York City,New York,10035,united states,East
jg-15805,John Grady,Decatur,Illinois,62521,united states,Central
ay-10555,Andy Yotov,Los Angeles,California,90049,united states,West
sc-20260,Scott Cohen,Seattle,Washington,98115,united states,West
sd-20485,Shirley Daniels,Philadelphia,Pennsylvania,19143,united states,East
fh-14275,Frank Hawley,Los Angeles,California,90004,united states,West
gp-14740,Guy Phonely,Lancaster,Pennsylvania,17602,united states,East
pj-19015,Pauline Johnson,Mobile,Alabama,36608,united states,South
rs-19765,Roland Schwarz,Columbia,South Carolina,29203,united states,South
vm-21685,Valerie Mitchum,Marietta,Georgia,30062,united states,South
ra-19885,Ruben Ausman,Decatur,Alabama,35601,united states,South
nm-18445,Nathan Mautz,Concord,California,94521,united states,West
js-15880,John Stevenson,Toledo,Ohio,43615,united states,East
jm-15655,Jim Mitchum,Glendale,Arizona,85301,united states,West
pc-19000,Pauline Chand,Chandler,Arizona,85224,united states,West
se-20110,Sanjit Engle,Lewiston,Idaho,83501,united states,West
jk-15370,Jay Kimmel,Miami,Florida,33180,united states,South
mm-18055,Michelle Moray,Great Falls,Montana,59405,united states,West
gm-14455,Gary Mitchum,Austin,Texas,78745,united states,Central
kn-16450,Kean Nguyen,Redondo Beach,California,90278,united states,West
eh-13765,Edward Hooks,Lodi,California,95240,united states,West
sv-20785,Stewart Visinsky,Bloomington,Indiana,47401,united states,Central
jd-15895,Jonathan Doherty,Philadelphia,Pennsylvania,19140,united states,East
bf-11170,Ben Ferrer,Baltimore,Maryland,21215,united states,East
ps-18970,Paul Stevenson,Los Angeles,California,90049,united states,West
sp-20650,Stephanie Phelps,Wilmington,North Carolina,28403,united states,South
km-16720,Kunst Miller,Houston,Texas,77095,united states,Central
jl-15835,John Lee,Los Angeles,California,90049,united states,West
nf-18595,Nicole Fjeld,San Jose,California,95123,united states,West
ag-10390,Allen Goldenen,Arlington,Virginia,22204,united states,South
bp-11230,Benjamin Patterson,Los Angeles,California,90045,united states,West
sv-20365,Seth Vernon,Houston,Texas,77070,united states,Central
aa-10375,Allen Armold,Los Angeles,California,90008,united states,West
db-13555,Dorothy Badders,Henderson,Kentucky,42420,united states,South
ah-10030,Aaron Hawkins,Troy,New York,12180,united states,East
lb-16795,Laurel Beltran,Columbus,Ohio,43229,united states,East
ts-21160,Theresa Swint,Philadelphia,Pennsylvania,19134,united states,East
nm-18445,Nathan Mautz,San Francisco,California,94109,united states,West
bt-11305,Beth Thompson,San Gabriel,California,91776,united states,West
da-13450,Dianna Arnett,Houston,Texas,77095,united states,Central
lc-16885,Lena Creighton,Wilmington,North Carolina,28403,united states,South
ag-10300,Aleksandra Gannaway,Los Angeles,California,90049,united states,West
mh-17290,Marc Harrigan,Los Angeles,California,90036,united states,West
my-18295,Muhammed Yedwab,Baltimore,Maryland,21215,united states,East
gb-14530,George Bell,Newark,Ohio,43055,united states,East
ds-13180,David Smith,Jamestown,New York,14701,united states,East
ai-10855,Arianne Irving,San Francisco,California,94122,united states,West
la-16780,Laura Armstrong,Memphis,Tennessee,38109,united states,South
hg-14845,Harry Greene,Lake Charles,Louisiana,70601,united states,South
ll-16840,Lauren Leatherbury,Rochester,New York,14609,united states,East
kh-16360,Katherine Hughes,Dover,Delaware,19901,united states,East
jm-16195,Justin MacKendrick,Louisville,Kentucky,40214,united states,South
tm-21010,Tamara Manning,Jackson,Mississippi,39212,united states,South
ar-10510,Andrew Roberts,Columbus,Ohio,43229,united states,East
cs-11860,Cari Schnelling,Lakeland,Florida,33801,united states,South
nc-18415,Nathan Cano,Yonkers,New York,10701,united states,East
js-15940,Joni Sundaresam,Appleton,Wisconsin,54915,united states,Central
aa-10480,Andrew Allen,Middletown,Connecticut,6457,united states,East
bs-11365,Bill Shonely,Seattle,Washington,98105,united states,West
nc-18340,Nat Carroll,Houston,Texas,77036,united states,Central
pm-18940,Paul MacIntyre,Jackson,Michigan,49201,united states,Central
eb-13870,Emily Burns,San Antonio,Texas,78207,united states,Central
pf-19120,Peter Fuller,Richmond,Kentucky,40475,united states,South
gd-14590,Giulietta Dortch,Arlington,Virginia,22204,united states,South
kh-16330,Katharine Harms,Freeport,Illinois,61032,united states,Central
sn-20710,Steve Nguyen,Los Angeles,California,90004,united states,West
hp-14815,Harold Pawlan,Los Angeles,California,90049,united states,West
ct-11995,Carol Triggs,Lawrence,Massachusetts,1841,united states,East
ct-11995,Carol Triggs,Toronto,Ontario,,canada,East
kt-16480,Kean Thornton,Philadelphia,Pennsylvania,19134,united states,East
sb-20290,Sean Braxton,Henderson,Kentucky,42420,united states,South
pg-18820,Patrick Gardner,San Francisco,California,94110,united states,West
af-10885,Art Foster,Philadelphia,Pennsylvania,19134,united states,East
gm-14680,Greg Matthias,San Jose,California,95123,united states,West
ai-10855,Arianne Irving,Kent,Washington,98031,united states,West
vw-21775,Victoria Wilson,Huntsville,Texas,77340,united states,Central
pg-18895,Paul Gonzalez,Fort Worth,Texas,76106,united states,Central
bg-11695,Brooke Gillingham,Watertown,New York,13601,united states,East
hd-14785,Harold Dahlen,Chicago,Illinois,60610,united states,Central
rm-19375,Raymond Messe,Houston,Texas,77095,united states,Central
hl-15040,Hunter Lopez,Milwaukee,Wisconsin,53209,united states,Central
kt-16480,Kean Thornton,Franklin,Massachusetts,2038,united states,East
ah-10030,Aaron Hawkins,Los Angeles,California,90004,united states,West
eh-14005,Erica Hernandez,Hialeah,Florida,33012,united states,South
ag-10270,Alejandro Grove,West Jordan,Utah,84084,united states,West
np-18325,Naresj Patel,Oakland,California,94601,united states,West
aj-10795,Anthony Johnson,Saint Petersburg,Florida,33710,united states,South
pw-19030,Pauline Webber,Los Angeles,California,90036,united states,West
cc-12475,Cindy Chapman,San Francisco,California,94122,united states,West
pa-19060,Pete Armstrong,Eau Claire,Wisconsin,54703,united states,Central
tt-21070,Ted Trevino,Akron,Ohio,44312,united states,East
ga-14515,George Ashbrook,Dallas,Texas,75220,united states,Central
bs-11755,Bruce Stewart,Cleveland,Ohio,44105,united states,East
jh-15820,John Huston,Midland,Michigan,48640,united states,Central
td-20995,Tamara Dahlen,Virginia Beach,Virginia,23464,united states,South
rf-19345,Randy Ferguson,Dover,New Hampshire,3820,united states,East
mc-17590,Matt Collister,San Marcos,Texas,78666,united states,Central
